OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
zOTU_105	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified	
zOTU_1942	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	
zOTU_2057	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionII	FamilyII	Pleurocapsa	
zOTU_457	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	
zOTU_553	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	
zOTU_394	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	FamilyI_unclassified	
zOTU_626	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	
zOTU_968	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	JTB255_marine_benthic_group_ge	
zOTU_1131	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	Sva0996_marine_group_ge	
zOTU_1169	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
zOTU_1211	Bacteria	Acidobacteria	Holophagae	Subgroup_10	TK85	TK85_ge	
zOTU_1451	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexaceae_unclassified	
zOTU_1785	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	E01-9C-26_marine_group_fa	E01-9C-26_marine_group_ge	
zOTU_1967	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptuniibacter	
zOTU_2080	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	SAR116_clade_ge	
zOTU_2123	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
zOTU_2124	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
zOTU_582	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	
zOTU_855	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Fodinicurvata	
zOTU_936	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_1	Surface_1_ge	
zOTU_1020	Eukaryota	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	
zOTU_1258	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Salinirepens	
zOTU_1731	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
zOTU_1786	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	FamilyI_unclassified	
zOTU_2022	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	SAR86_clade_ge	
zOTU_963	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified	
zOTU_1754	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	
zOTU_2132	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Surface_2	Surface_2_ge	
zOTU_900	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	SAR116_clade_ge	
zOTU_986	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	
zOTU_1149	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae_(Subgroup_3)	PAUC26f	
zOTU_137	Bacteria	SBR1093	SBR1093_cl	SBR1093_or	SBR1093_fa	SBR1093_ge	
zOTU_146	unknown	unknown_unclassified	unknown_unclassified	unknown_unclassified	unknown_unclassified	unknown_unclassified	
